subject,condition,difficulty,task_info,time_taken_s,handover_point,overtime_alarm,assembly_status
1,manual,hard,sum_21_Use 1 Blue and 2 Green,15.656,1,False,correct
1,manual,hard,sum_15_Use 1 Red and 2 Yellow,18.353,2,False,none
1,manual,hard,sum_22_Use 1 Red and 2 Green,18.767,1,False,correct
1,manual,hard,sum_16_Use 2 Red and 1 Green,18.076,2,False,correct
1,manual,hard,sum_12_Use 1 Blue and 2 Yellow,19.629,1,False,correct
1,manual,hard,sum_18_Use 1 Blue and 2 Green,20.601,2,True,correct
1,manual,hard,sum_7_Use 2 Blue and 1 Red,19.812,1,False,correct
1,manual,hard,sum_17_Use 1 Red and 2 Yellow,16.692,2,False,none
1,manual,hard,sum_10_Use 1 Blue and 2 Red,25.611,1,True,incorrect
1,manual,hard,sum_22_Use 1 Red and 2 Green,18.924,2,False,correct
1,manual,hard,sum_14_Use 2 Red and 1 Yellow,18.045,1,False,correct
1,manual,hard,sum_15_Use 1 Red and 2 Yellow,27.269,2,True,correct
1,manual,hard,sum_15_Use 1 Blue and 2 Green,20.265,1,True,correct
1,manual,hard,sum_15_Use 2 Blue and 1 Green,15.515,2,False,correct
1,manual,hard,sum_9_Use 2 Blue and 1 Green,21.71,1,True,none
